2026-05-26 20:26:04	flashcards_unit_1_lesson_1	13173	5564	$0.6149
2026-05-26 20:26:42	flashcards_unit_1_lesson_2	10205	3196	$0.3928
2026-05-26 20:27:22	flashcards_unit_1_lesson_3	13482	3362	$0.4544
2026-05-26 20:27:55	flashcards_unit_2_lesson_1	8361	2887	$0.3419
2026-05-26 20:28:35	flashcards_unit_2_lesson_2	6811	3361	$0.3542
2026-05-26 20:29:13	flashcards_unit_2_lesson_3	9658	3192	$0.3843
2026-05-26 20:29:53	flashcards_unit_3_lesson_1	13139	3312	$0.4455
2026-05-26 20:30:32	flashcards_unit_3_lesson_2	7682	3145	$0.3511
2026-05-26 20:31:13	flashcards_unit_3_lesson_3	6034	3257	$0.3348
2026-05-26 20:31:58	flashcards_unit_4_lesson_1	15564	3823	$0.5202
2026-05-26 20:32:28	flashcards_unit_4_lesson_2	6654	2497	$0.2871
2026-05-26 20:33:13	flashcards_unit_5_lesson_1	16706	3881	$0.5417
2026-05-26 20:33:45	flashcards_unit_5_lesson_2	4803	2678	$0.2729
2026-05-26 20:34:20	flashcards_unit_5_lesson_3	11148	2870	$0.3825
2026-05-26 20:35:02	flashcards_unit_6_lesson_1	9446	2929	$0.3614
2026-05-26 20:35:43	flashcards_unit_6_lesson_2	6892	3499	$0.3658
2026-05-26 20:36:29	flashcards_unit_6_lesson_3	10044	3923	$0.4449
2026-05-26 20:36:59	flashcards_unit_7_lesson_1	4854	2546	$0.2638
2026-05-26 20:37:39	flashcards_unit_7_lesson_2	8807	3482	$0.3933
2026-05-26 20:38:00	flashcards_unit_8_lesson_1	2986	2070	$0.2000
2026-05-26 20:38:28	flashcards_unit_8_lesson_2	5222	2482	$0.2645
2026-05-26 20:39:10	flashcards_unit_9_lesson_1	10145	3856	$0.4414
2026-05-26 20:39:37	flashcards_unit_9_lesson_2	4398	2466	$0.2509
2026-05-26 20:40:08	flashcards_unit_9_lesson_3	7527	2766	$0.3204
2026-05-26 20:40:48	flashcards_unit_10_lesson_1	6631	3366	$0.3519
2026-05-26 20:41:20	flashcards_unit_10_lesson_2	7360	2786	$0.3194
2026-05-26 20:41:54	flashcards_unit_11_lesson_1	5836	2850	$0.3013
2026-05-26 20:42:33	flashcards_unit_11_lesson_2	6534	3100	$0.3305
2026-05-26 20:43:09	flashcards_unit_11_lesson_3	6082	2922	$0.3104
2026-05-26 20:43:43	flashcards_unit_11_lesson_4	9447	2952	$0.3631
2026-05-26 20:44:19	flashcards_unit_12_lesson_1	6322	2965	$0.3172
2026-05-26 21:15:15	flashcards_unit_12_lesson_2	7124	3179	$0.3453
2026-05-26 21:16:06	flashcards_type_standard	18414	4289	$0.5979
2026-05-26 21:19:17	flashcards_type_hard	18452	8000	$0.8768
2026-05-26 21:20:12	flashcards_type_definitions	18434	4579	$0.6199
2026-05-26 21:21:31	flashcards_type_calculations	18458	6692	$0.7788
2026-05-26 21:23:16	studyguide_unit_1	30572	7344	$1.0094
2026-05-26 21:24:25	studyguide_unit_2	24423	4923	$0.7356
2026-05-26 21:25:49	studyguide_unit_3	25556	6355	$0.8600
2026-05-26 21:26:54	studyguide_unit_4	22476	4893	$0.7041
2026-05-26 21:28:15	studyguide_unit_5	31448	6011	$0.9225
2026-05-26 21:29:39	studyguide_unit_6	25892	6115	$0.8470
2026-05-26 21:30:29	studyguide_unit_7	14347	3783	$0.4989
2026-05-26 21:31:04	studyguide_unit_8	8911	2536	$0.3239
2026-05-26 21:32:15	studyguide_unit_9	20966	5528	$0.7291
2026-05-26 21:33:14	studyguide_unit_10	14084	4314	$0.5348
2026-05-26 21:34:54	studyguide_unit_11	24086	7294	$0.9083
2026-05-26 21:36:10	studyguide_unit_12	12374	5460	$0.5951
2026-05-26 21:36:38	reference_yield_relationships	23562	2038	$0.5063
2026-05-26 21:37:13	reference_options_strategies	22687	2619	$0.5367
2026-05-26 21:37:58	reference_account_types	22474	3046	$0.5656
2026-05-26 21:38:24	reference_settlement_times	24171	2014	$0.5136
2026-05-26 21:38:53	reference_aml_amounts	20616	2150	$0.4705
2026-05-26 21:39:23	reference_registration_exemptions	21603	2326	$0.4985
2026-05-26 21:45:19	flashcards_unit_1_lesson_3	13614	3829	$0.4914
